"url","active","visible","label_order","title_attributes","title_color","title_boxcolor","level","filter","parent","login","dos_threshold","help"
"cf_app.php?admin","yes","yes",99,41,"red","#FFFF80",1,"admin",,1,0,
"cf_docs.php","yes","no",98,41,"red","#FFFF80",5,,,1,0,
"cf_ajaxplorer_content.php","yes","no",100,41,"red","#FFFF80",10,,,1,0,
"index.php","yes","no",0,41,"red","#FFFF80",100,,,1,0,
"cf_login.php","yes","no",0,41,"red","#FFFF80",100,,,1,0,
"cf_logout.php","yes","no",100,41,"red","#FFFF80",10,,,1,0,
"cf_changepwd.php","yes","no",100,41,"red","#FFFF80",10,,,1,0,
"cf_redirect.php","yes","no",100,41,"red","#FFFF80",10,,,0,0,
"cf_worktable_admin.php","yes","no",0,41,"red","#FFFF80",1,"admin","cf_app.php?admin",1,0,
"cf_worktable_admin_cat.php","yes","no",1,41,"red","#FFFF80",1,"admin","cf_app.php?admin",1,0,
"cf_worktable_wizard.php","yes","no",1,41,"red","#FFFF80",1,"admin","cf_app.php?admin",1,0,
"cf_worktable_wizard_step2.php","yes","no",1,41,"red","#FFFF80",1,"admin","cf_app.php?admin",1,0,
"cf_worktable_wizard_step3.php","yes","no",1,41,"red","#FFFF80",1,"admin","cf_app.php?admin",1,0,
"cf_worktable_wizard_step4.php","yes","no",1,41,"red","#FFFF80",1,"admin","cf_app.php?admin",1,0,
"cf_app.php?cat1","yes","no",81,41,"red","#FFFF80",5,,,1,0,
"cf_app.php?cat2","yes","no",82,41,"red","#FFFF80",5,,,1,0,
"cf_app.php?cat3","yes","no",83,41,"red","#FFFF80",5,,,1,0,
"cf_app.php?cat4","yes","no",84,41,"red","#FFFF80",5,,,1,0,
"cf_app.php?cat5","yes","no",85,41,"red","#FFFF80",5,,,1,0,
"cf_app.php?cat6","yes","no",86,41,"red","#FFFF80",5,,,1,0,
"cf_app.php?cat7","yes","no",87,41,"red","#FFFF80",5,,,1,0,
"cf_app.php?cat8","yes","no",88,41,"red","#FFFF80",5,,,1,0,
"cf_app.php?cat9","yes","no",89,41,"red","#FFFF80",5,,,1,0,
"cf_worktable1.php","no","no",1,41,"red","#FFFF80",5,,,1,0,
"cf_worktable2.php","no","no",2,41,"red","#FFFF80",5,,,1,0,
"cf_worktable3.php","no","no",3,41,"red","#FFFF80",5,,,1,0,
"cf_worktable4.php","no","no",4,41,"red","#FFFF80",5,,,1,0,
"cf_worktable5.php","no","no",5,41,"red","#FFFF80",5,,,1,0,
"cf_worktable6.php","no","no",6,41,"red","#FFFF80",5,,,1,0,
"cf_worktable7.php","no","no",7,41,"red","#FFFF80",5,,,1,0,
"cf_worktable8.php","no","no",8,41,"red","#FFFF80",5,,,1,0,
"cf_worktable9.php","no","no",9,41,"red","#FFFF80",5,,,1,0,
"cf_worktable10.php","no","no",10,41,"red","#FFFF80",5,,,1,0,
"cf_worktable11.php","no","no",11,41,"red","#FFFF80",5,,,1,0,
"cf_worktable12.php","no","no",12,41,"red","#FFFF80",5,,,1,0,
"cf_worktable13.php","no","no",13,41,"red","#FFFF80",5,,,1,0,
"cf_worktable14.php","no","no",14,41,"red","#FFFF80",5,,,1,0,
"cf_worktable15.php","no","no",15,41,"red","#FFFF80",5,,,1,0,
"cf_worktable16.php","no","no",16,41,"red","#FFFF80",5,,,1,0,
"cf_worktable17.php","no","no",17,41,"red","#FFFF80",5,,,1,0,
"cf_worktable18.php","no","no",18,41,"red","#FFFF80",5,,,1,0,
"cf_worktable19.php","no","no",19,41,"red","#FFFF80",5,,,1,0,
"cf_worktable20.php","no","no",20,41,"red","#FFFF80",5,,,1,0,
"cf_worktable21.php","no","no",21,41,"red","#FFFF80",5,,,1,0,
"cf_worktable22.php","no","no",22,41,"red","#FFFF80",5,,,1,0,
"cf_worktable23.php","no","no",23,41,"red","#FFFF80",5,,,1,0,
"cf_worktable24.php","no","no",24,41,"red","#FFFF80",5,,,1,0,
"cf_worktable25.php","no","no",25,41,"red","#FFFF80",5,,,1,0,
"cf_worktable26.php","no","no",26,41,"red","#FFFF80",5,,,1,0,
"cf_worktable27.php","no","no",27,41,"red","#FFFF80",5,,,1,0,
"cf_worktable28.php","no","no",28,41,"red","#FFFF80",5,,,1,0,
"cf_worktable29.php","no","no",29,41,"red","#FFFF80",5,,,1,0,
"cf_worktable30.php","no","no",30,41,"red","#FFFF80",5,,,1,0,
"cf_worktable31.php","no","no",31,41,"red","#FFFF80",5,,,1,0,
"cf_worktable32.php","no","no",32,41,"red","#FFFF80",5,,,1,0,
"cf_worktable33.php","no","no",33,41,"red","#FFFF80",5,,,1,0,
"cf_worktable34.php","no","no",34,41,"red","#FFFF80",5,,,1,0,
"cf_worktable35.php","no","no",35,41,"red","#FFFF80",5,,,1,0,
"cf_worktable36.php","no","no",36,41,"red","#FFFF80",5,,,1,0,
"cf_worktable37.php","no","no",37,41,"red","#FFFF80",5,,,1,0,
"cf_worktable38.php","no","no",38,41,"red","#FFFF80",5,,,1,0,
"cf_worktable39.php","no","no",39,41,"red","#FFFF80",5,,,1,0,
"cf_worktable40.php","no","no",40,41,"red","#FFFF80",5,,,1,0,
"cf_worktable41.php","no","no",41,41,"red","#FFFF80",5,,,1,0,
"cf_worktable42.php","no","no",42,41,"red","#FFFF80",5,,,1,0,
"cf_worktable43.php","no","no",43,41,"red","#FFFF80",5,,,1,0,
"cf_worktable44.php","no","no",44,41,"red","#FFFF80",5,,,1,0,
"cf_worktable45.php","no","no",45,41,"red","#FFFF80",5,,,1,0,
"cf_worktable46.php","no","no",46,41,"red","#FFFF80",5,,,1,0,
"cf_worktable47.php","no","no",47,41,"red","#FFFF80",5,,,1,0,
"cf_worktable48.php","no","no",48,41,"red","#FFFF80",5,,,1,0,
"cf_worktable49.php","no","no",49,41,"red","#FFFF80",5,,,1,0,
"cf_worktable50.php","no","no",50,41,"red","#FFFF80",5,,,1,0,
"cf_worktable51.php","no","no",51,41,"red","#FFFF80",5,,,1,0,
"cf_worktable52.php","no","no",52,41,"red","#FFFF80",5,,,1,0,
"cf_worktable53.php","no","no",53,41,"red","#FFFF80",5,,,1,0,
"cf_worktable54.php","no","no",54,41,"red","#FFFF80",5,,,1,0,
"cf_worktable55.php","no","no",55,41,"red","#FFFF80",5,,,1,0,
"cf_worktable56.php","no","no",56,41,"red","#FFFF80",5,,,1,0,
"cf_worktable57.php","no","no",57,41,"red","#FFFF80",5,,,1,0,
"cf_worktable58.php","no","no",58,41,"red","#FFFF80",5,,,1,0,
"cf_worktable59.php","no","no",59,41,"red","#FFFF80",5,,,1,0,
"cf_worktable60.php","no","no",60,41,"red","#FFFF80",5,,,1,0,
"cf_worktable61.php","no","no",61,41,"red","#FFFF80",5,,,1,0,
"cf_worktable62.php","no","no",62,41,"red","#FFFF80",5,,,1,0,
"cf_worktable63.php","no","no",63,41,"red","#FFFF80",5,,,1,0,
"cf_worktable64.php","no","no",64,41,"red","#FFFF80",5,,,1,0,
"cf_worktable65.php","no","no",65,41,"red","#FFFF80",5,,,1,0,
"cf_worktable66.php","no","no",66,41,"red","#FFFF80",5,,,1,0,
"cf_worktable67.php","no","no",67,41,"red","#FFFF80",5,,,1,0,
"cf_worktable68.php","no","no",68,41,"red","#FFFF80",5,,,1,0,
"cf_worktable69.php","no","no",69,41,"red","#FFFF80",5,,,1,0,
"cf_worktable70.php","no","no",70,41,"red","#FFFF80",5,,,1,0,
"cf_worktable71.php","no","no",71,41,"red","#FFFF80",5,,,1,0,
"cf_worktable72.php","no","no",72,41,"red","#FFFF80",5,,,1,0,
"cf_worktable73.php","no","no",73,41,"red","#FFFF80",5,,,1,0,
"cf_worktable74.php","no","no",74,41,"red","#FFFF80",5,,,1,0,
"cf_worktable75.php","no","no",75,41,"red","#FFFF80",5,,,1,0,
"cf_worktable76.php","no","no",76,41,"red","#FFFF80",5,,,1,0,
"cf_worktable77.php","no","no",77,41,"red","#FFFF80",5,,,1,0,
"cf_worktable78.php","no","no",78,41,"red","#FFFF80",5,,,1,0,
"cf_worktable79.php","no","no",79,41,"red","#FFFF80",5,,,1,0,
"cf_worktable80.php","no","no",80,41,"red","#FFFF80",5,,,1,0,
"cf_worktable81.php","no","no",81,41,"red","#FFFF80",5,,,1,0,
"cf_worktable82.php","no","no",82,41,"red","#FFFF80",5,,,1,0,
"cf_worktable83.php","no","no",83,41,"red","#FFFF80",5,,,1,0,
"cf_worktable84.php","no","no",84,41,"red","#FFFF80",5,,,1,0,
"cf_worktable85.php","no","no",85,41,"red","#FFFF80",5,,,1,0,
"cf_worktable86.php","no","no",86,41,"red","#FFFF80",5,,,1,0,
"cf_worktable87.php","no","no",87,41,"red","#FFFF80",5,,,1,0,
"cf_worktable88.php","no","no",88,41,"red","#FFFF80",5,,,1,0,
"cf_worktable89.php","no","no",89,41,"red","#FFFF80",5,,,1,0,
"cf_worktable90.php","no","no",90,41,"red","#FFFF80",5,,,1,0,
"cf_worktable91.php","no","no",91,41,"red","#FFFF80",5,,,1,0,
"cf_worktable92.php","no","no",92,41,"red","#FFFF80",5,,,1,0,
"cf_worktable93.php","no","no",93,41,"red","#FFFF80",5,,,1,0,
"cf_worktable94.php","no","no",94,41,"red","#FFFF80",5,,,1,0,
"cf_worktable95.php","no","no",95,41,"red","#FFFF80",5,,,1,0,
"cf_worktable96.php","no","no",96,41,"red","#FFFF80",5,,,1,0,
"cf_worktable97.php","no","no",97,41,"red","#FFFF80",5,,,1,0,
"cf_worktable98.php","no","no",98,41,"red","#FFFF80",5,,,1,0,
"cf_worktable99.php","no","no",99,41,"red","#FFFF80",5,,,1,0,
"cf_rest_controller.php","yes","no",100,41,"red","#FFFF80",10,,,1,0,
"cf_api.php","yes","no",100,41,"red","#FFFF80",10,,,1,0,
